fixture,ts_ms,outcome_idx,outcome,in_running,event_driven,z,prob_before,prob_after,entry_odds,lock_immediate,lock_60s,lock_120s,lock_300s,lock_600s,lock_900s,unhedged_terminal,hit
18172280,1782748297209,0,part1,False,False,398.11,0.3146,0.4155,2.407,-1.99,-1.99,-1.99,-1.97,-2.11,-2.12,-100.0,False
18172280,1782748297209,2,part2,False,False,889.96,0.2289,0.2801,3.57,-3.25,-3.25,-3.25,-3.31,-3.12,-3.26,-100.0,False
18172280,1782749611328,1,draw,False,False,2.64,0.3237,0.457,2.188,-1.72,-1.8,-35.24,-35.21,-35.23,-35.23,118.8,True
18172280,1782786871959,0,part1,True,True,19.27,0.2435,0.7491,1.335,-0.57,-1.19,-1.04,-3.68,-0.15,7.92,-100.0,False
18172280,1782787712198,0,part1,True,True,2.57,0.7488,0.7994,1.251,-0.45,1.13,3.44,-89.25,-71.52,-70.23,-100.0,False
18172280,1782787995845,1,draw,True,True,22.33,0.1936,0.7949,1.258,-0.51,5.21,10.57,-33.81,-15.03,-31.4,25.8,True
18172280,1782787995845,2,part2,True,True,6.3,0.0334,0.1048,9.545,-5.17,-26.63,-47.79,111.7,43.05,98.82,-100.0,False
18172280,1782789163405,1,draw,True,True,2.52,0.5904,0.8157,1.226,-0.34,2.19,-24.4,-19.32,-20.17,-8.72,22.6,True
18172379,1782845450959,1,draw,False,False,739.69,0.1895,0.383,2.611,-1.85,-1.85,-1.85,-1.85,-1.85,-2.24,-100.0,False
18172379,1782858181502,0,part1,False,False,3.16,0.5316,0.7017,1.425,-0.71,-27.37,-27.44,-27.59,-27.5,-27.5,42.5,True
18172379,1782861310513,0,part1,False,False,556.1,0.5142,0.7022,1.424,-0.76,-0.75,-0.75,-0.75,-0.75,-0.77,42.4,True
18172379,1782874030317,1,draw,False,False,712.86,0.1881,0.3668,2.726,-1.95,-50.31,-50.32,-50.28,-50.36,-50.28,-100.0,False
18172379,1782880301021,1,draw,False,False,3.31,0.2029,0.3666,2.728,-1.93,-2.04,-2.04,-1.42,-1.72,-1.7,-100.0,False
18172379,1782881954247,1,draw,False,False,2.91,0.2094,0.3674,2.722,-1.95,-49.63,-2.13,-2.09,-2.13,-2.13,-100.0,False
18172379,1782919266833,0,part1,False,False,232.48,0.5286,0.7092,1.41,-0.71,-25.98,-25.93,-0.25,-0.18,-0.15,41.0,True
18172379,1782931285984,1,draw,False,False,3.47,0.1967,0.352,2.841,-1.99,-49.61,-49.61,-1.75,-1.71,-1.79,-100.0,False
18172379,1782933260045,0,part1,False,False,641.89,0.5345,0.7133,1.402,-0.69,-0.69,-0.69,-25.93,-25.93,-25.93,40.2,True
